username, created_at, lng, lat, text
linnix, Fri Apr 24 03:04:33 +0000 2020, -104.735476, 40.414496, It’s cool, I just live in the highest case count zip code in this county... 
giaco1025, Fri Apr 24 03:04:33 +0000 2020, -73.831187, 40.670879, This is what NE does. Trade back get picks. The dark wizard works in mysterious ways 
TimJackson, Fri Apr 24 03:04:33 +0000 2020, -117.104989, 32.810012, This is painful to watch, seeing this person recognize her credibility die, knowing Americans are dying because of… https://t.co/1IuxnVdJtH 
angelmollina, Fri Apr 24 03:04:33 +0000 2020, -118.156711, 33.809172, @_cardenasdanny_ @RickyBriseno2 Straight up!! 
david_hemond, Fri Apr 24 03:04:33 +0000 2020, -72.640867, 41.987733, There’s no there there Amy.  Mr Bleach and his cabal couldn’t usefully combat the virus if it was their intent to t… https://t.co/RLmrpjoE63 
_KurukP, Fri Apr 24 03:04:33 +0000 2020, -95.446486, 29.838495, I Like Ciara But..... @rihanna All Day On Repeat For Hours https://t.co/MYfkUJua0s 
MaddieDeucher, Fri Apr 24 03:04:33 +0000 2020, -106.417430, 31.793368, @henryallthecorn @0517_vanessad I love you El Paso❤️ https://t.co/zIhe4In2Gc 
McDougallMartha, Fri Apr 24 03:04:34 +0000 2020, -91.090800, 30.459100, @Valerieblaise 😆😆😆 
Lisa_Meyer242, Fri Apr 24 03:04:34 +0000 2020, -74.827522, 40.858644, @DCPhotog And MK, can we talk about those eyes for a minute! Uh-mazing! 
JacobsLadder28, Fri Apr 24 03:04:34 +0000 2020, -83.173867, 32.678207, @elleduncanESPN 🤣😂🤣😂 
mhurt2000, Fri Apr 24 03:04:34 +0000 2020, -79.420865, 38.003376, @jamiedupree @MattMurph24 You do understand the virus thrives in the lungs at 98.6degF or higher. Heat and humidity? 
danigandiii, Fri Apr 24 03:04:34 +0000 2020, -80.347120, 25.671986, Worlds dumbest bitch 
CreoleBabyBritt, Fri Apr 24 03:04:34 +0000 2020, -76.362276, 37.050897, What 
sayiamyou, Fri Apr 24 03:04:34 +0000 2020, -77.163103, 39.087055, @DonaldJTrumpJr Hey greasy little rich twat...this is what REALLY MATTERS : 28 PERCENT say they regularly get COVID… https://t.co/xTTnGD7OtZ 
DanteCollinelli, Fri Apr 24 03:04:34 +0000 2020, -77.604684, 41.117936, @MikeH_Draft https://t.co/9eDOCqIPRB 
urclassless, Fri Apr 24 03:04:34 +0000 2020, -113.577765, 37.085582, TH isn’t a starting NFL QB.... But I still don’t get the hype for Love.... 
dresantana330, Fri Apr 24 03:04:34 +0000 2020, -81.516751, 41.080877, I’m legit pissed lol like why did they draft this nigga at 21 trade back and get him but to just take him there wit… https://t.co/Gnk4Vut6im 
dioneee_, Fri Apr 24 03:04:34 +0000 2020, -76.918212, 38.801873, 😂😂😂😂😂😂😂 
KammyBuckets, Fri Apr 24 03:04:34 +0000 2020, -119.782465, 36.786042, She tried it 😂😂😂 
MattyG361, Fri Apr 24 03:04:34 +0000 2020, -95.660033, 29.747906, @StevenGuajardo @dallascowboys @_CeeDeeThree What you gonna do with your TWill tho bro 
Karlavp15, Fri Apr 24 03:04:34 +0000 2020, -111.498181, 28.969863, @21rodrigomoreno Al fin una respuesta que me hace entenderlos 🙄 
lamarr_douglas, Fri Apr 24 03:04:34 +0000 2020, -76.593943, 24.074967, 😂😂 
eddogg216, Fri Apr 24 03:04:34 +0000 2020, -81.705467, 41.495940, @Acyn Are you fucking kidding me??!! 
elite__19, Fri Apr 24 03:04:34 +0000 2020, -92.076701, 32.521243, @Andrew_Calvin4 Of course your from Texas 🤦🏽‍♂️ 
yoitsmarco_, Fri Apr 24 03:04:34 +0000 2020, -117.000831, 32.705576, That’s a good friend. 
o0omar415, Fri Apr 24 03:04:34 +0000 2020, -76.826504, 38.907379, @idabossmane I remember when I ate 5 out of the 8 you made. 
GeekOfStuff, Fri Apr 24 03:04:34 +0000 2020, -90.375446, 38.699745, @bobbytarantinho https://t.co/Y8oIKyyfPd 
